2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=20 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.007700
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=20 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.038200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=21 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002300
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=21 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.003200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=21 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.024600
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=22 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.003200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=22 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.032500
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=22 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.086500
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=23 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=23 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.003100
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=23 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=24 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=24 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.001900
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=24 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.021600
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=25 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=25 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.025000
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=25 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.033400
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=26 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002100
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=26 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.034700
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=26 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.047700
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=27 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002900
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=27 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002000
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=27 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.021900
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=28 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002100
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=28 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.009900
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=28 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.007700
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=29 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=29 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.007100
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=29 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.028700
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=30 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.001600
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=30 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=30 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.026700
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=31 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.001900
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=31 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.001800
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=32 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002300
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=31 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.026900
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=33 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002100
